0,25,856
0,2025,1879
0,905,1880
0,906,854
0,907,853
0,1236,855
0,958,465
1,19,856
2,25,856
2,2025,854
2,1276,853
2,1215,855
2,938,465
2,568,464
2,569,467
2,570,463
2,571,1206
2,572,858
2,573,563
2,1218,857
2,939,1705
2,1155,1107
2,1503,1100
2,982,466
2,542,564
2,543,1236
2,544,1468
2,545,562
2,1233,1355
2,1134,1878
2,1494,561
2,1495,2012
2,1496,150
2,1497,2071
2,1498,2073
2,1499,2072
2,1502,907
2,1154,1881
2,1999,124
2,1510,906
2,991,1659
2,979,631
2,980,1163
2,981,905
2,1216,1204
2,546,125
2,797,126
2,105,1739
2,112,122
2,1879,1153
2,1880,834
2,1504,123
2,1469,832
2,1470,627
2,1471,741
2,993,833
2,998,1223
2,1992,1746
2,679,835
2,975,1164
2,976,859
2,977,587
2,978,585
2,986,1735
2,987,1738
2,988,2009
2,1217,628
3,905,856
3,906,1879
3,907,1880
3,104,854
4,905,856
4,906,1879
4,907,1880
4,104,854
5,905,856
5,906,1879
5,907,1880
5,1167,854
5,104,853
5,1111,855
5,1865,465
5,958,464
5,831,467
5,929,1154
5,1374,2025
5,10,25
5,594,463
5,1580,1206
5,1581,858
5,1582,563
5,1583,857
5,1584,1155
5,1589,1705
5,1590,1107
5,1748,1100
5,1749,466
5,1028,564
5,680,1236
5,1735,1468
5,1738,562
5,1739,938
5,1746,1355
5,391,1878
5,63,561
5,1550,2012
5,416,939
5,417,150
5,418,2071
5,419,2073
5,56,797
5,1476,2072
5,1478,1881
5,840,124
5,519,1659
5,520,631
5,1964,1163
5,1965,1215
5,1966,1204
5,1967,1218
5,2114,125
5,2049,126
5,1743,122
5,72,1153
5,837,834
5,1321,123
5,968,832
5,836,627
5,875,741
5,9,833
5,40,1223
5,1385,1510
5,1662,835
5,1857,1164
5,94,859
5,1248,587
5,320,585
5,473,2009
5,1745,628
5,1179,1276
5,1180,314
5,1181,171
5,1182,1358
5,1183,881
5,1184,127
5,1185,167
5,1186,883
5,1187,1660
5,357,1503
5,358,589
5,1568,161
5,44,937
5,911,880
5,942,936
5,943,933
5,944,586
6,905,856
6,906,1879
6,907,1880
6,104,854
7,2029,856
7,908,1879
7,1549,1880
7,1550,854
7,2007,853
7,1043,855
7,1044,465
7,1203,464
7,411,467
7,1765,1154
7,354,2025
7,2064,25
7,1361,463
7,2114,1206
7,1980,858
8,905,856
8,906,1879
8,907,1880
8,1236,854
8,1639,853
8,1636,855
8,1637,465
8,1638,464
8,1634,467
8,1635,1154
8,1643,2025
8,1644,25
9,298,856
9,297,1879
9,303,1880
9,296,854
9,301,853
9,300,855
9,1527,465
9,1528,464
9,913,467
9,914,1154
9,915,2025
9,916,25
9,917,463
9,918,1206
9,919,858
9,920,563
9,921,857
9,922,1155
9,1327,1705
9,1887,1107
9,1888,1100
9,302,466
9,604,564
9,605,1236
9,678,1468
9,743,562
9,299,938
9,903,1355
9,904,1878
9,1591,561
9,1592,2012
9,1593,939
9,1595,150
9,339,2071
9,340,2073
9,392,797
9,1789,2072
9,304,907
9,1575,1881
9,1576,124
9,510,906
9,1710,1659
9,1711,631
9,1712,1163
9,1713,1215
9,1714,905
9,1715,1204
9,653,1218
9,744,125
9,750,126
9,773,1739
9,774,122
9,775,1153
